Bulbasaur	[3,4,5,6/12,13,14,15]
Magnezone	[9,7/5,4,3,2/A-8-7,9]
Lickilicky	[11,12,13,14/7,8,9,10-DN/5,6]
Rhyperior	[0,12,13,14,15-LN/4,5,6,7/0,8,9,10,11]
Tangrowth	[2,3,4,5/1,6,7,8/14,13-D]
Electivire	[6,7,8,9,10,11/12,13,14]
Magmortar	[0,12,11,10/0,8,7,6;0,16,15,7-7/0,14,13,0-LN]
Togekiss	[11,12,13,14//0,3,4,0-D/0,6,7-D/A-2-3,11/A-5-6,11]
Yanmega		[3,4,5,6/0,7,8,9]
Leafeon		[0,11,12,13,14,15/0,8,9,10/4,5,6-D]
Glaceon		[0,11,12,13,14/0,8,9,10-LN/4,5-D]
Gliscor		[3,4,5,6,7/15,16/0,8,9,10/0,11,0,12,0]
Mamoswine	[0,2,3,4,5;0,6,7,0,5-5-D/0,8,9,0-L/13,14]
Porygon-Z	[3,4,5,6,7/9,10,11,12/0,13,14,15-DN]
Gallade		[2,3,4,5/0,13,14,15/0,10,11,12/0,6,7,8]
Probopass	[7,6,5,4,3/16,15,14,13,12]
Dusknoir	[0,9,10,11-D/3,4,5,6,7/15/0,12,13,14]
Froslass	[0,7,8,9,6;0,3,4,5,6-6/15,16-D/12,13,14/10,11]
Rotom		[2,3,4,5/6,7,8,0/11,12-LN]
Uxie		[9,10,11,12/2,3,4,5/0,6,7,8]
Mesprit		[9,10,11,12/2,3,4,5/0,6,7,8/13,14-LN]
Azelf		[9,10,11,12/2,3,4,5/0,6,7,8/13-B]
Dialga		[6,7,8,9;2,3,8-8/11,12,13,14/5]
Palkia		[2,3,4,5,6,7/16,10,11,12,13,14-L/8,9-L]
Heatran		[0,4,3,2/13,12,11,10,9,0/0,7,8,0/6/A-5-6,4]
Regigigas	[8,7,6,4/0,11,10,9/0,3-D/15/14/16/A-5-7,3]
Giratina	[7,6,5,4,3-E/15,11,10,9,8/0,14,13,12-DN]
Cresselia	[7,6,5,4/0,15,14,13/12,11,10,9,8-E/A-3-6,15]
Phione		[5,6,7,8,9,10/14]
Manaphy		[5,6,7,8,9,10/14,15]
Darkrai		[4,3-D/0,8,7,6/13-12-11-L-E]
Shaymin		[14,13,12-B/0,4,3,2/0,7,6,5/0,10,9,8]
Arceus		[2,3,4,5] form support?
